,precision,recall,f1-score,support
No Churn,0.8400735294117647,0.8830917874396135,0.8610456900612341,1035.0
Churn,0.6230529595015576,0.5347593582887701,0.5755395683453237,374.0
accuracy,0.7906316536550745,0.7906316536550745,0.7906316536550745,0.7906316536550745
macro avg,0.7315632444566611,0.7089255728641918,0.718292629203279,1409.0
weighted avg,0.7824683532964932,0.7906316536550745,0.7852619501593531,1409.0
