,precision,recall,f1-score,support
No Churn,0.843351548269581,0.8946859903381642,0.8682606657290202,1035.0
Churn,0.6495176848874598,0.5401069518716578,0.5897810218978102,374.0
accuracy,0.8005677785663591,0.8005677785663591,0.8005677785663591,0.8005677785663591
macro avg,0.7464346165785204,0.717396471104911,0.7290208438134151,1409.0
weighted avg,0.7919009699126517,0.8005677785663591,0.794342009382056,1409.0
