Model,Accuracy,Precision,Recall,F1-score,AUC-ROC
Logistic Regression,0.8005677785663591,0.6495176848874598,0.5401069518716578,0.5897810218978102,0.8490867756852412
Random Forest,0.7899219304471257,0.6335616438356164,0.4946524064171123,0.5555555555555556,0.8376682425275774
XGBoost,0.7906316536550745,0.6230529595015576,0.5347593582887701,0.5755395683453237,0.854621664212457
