,precision,recall,f1-score,support
No Churn,0.8307967770814683,0.8966183574879227,0.862453531598513,1035.0
Churn,0.6335616438356164,0.4946524064171123,0.5555555555555556,374.0
accuracy,0.7899219304471257,0.7899219304471257,0.7899219304471257,0.7899219304471257
macro avg,0.7321792104585423,0.6956353819525175,0.7090045435770342,1409.0
weighted avg,0.7784433776251527,0.7899219304471257,0.7809916131882461,1409.0
